Make,Model,Score,Price,Year,Mileage,Date,Source,OnSale,Days,Link,Image,Hash
Jeep,Compass Sport,34.84185287,13900.0,2016,26650,12/11/2022,KSL,False,,https://cars.ksl.com/listing/7747369,https://img.ksl.com/mx/mplace-cars.ksl.com/4482885-1661463511-909703.jpg?filter=marketplace/400x300_dealer,221410800
Toyota,Corolla Le,34.23768814287057,14495.0,2019,57195,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8269870,,697788530
Chevrolet,Suburban Lt,34.04432368,9000.0,2007,25519,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8025182,,464315697
Nissan,Sentra S,33.974072210772185,11995.0,2019,45902,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8080775,,559223508
Honda,Fit Ex,32.74392524,14741.0,2017,39581,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8138792,https://img.ksl.com/mx/mplace-cars.ksl.com/2733291-1664086383-337348.jpg?filter=marketplace/400x300_dealer,402181549
Cadillac,Xt4 Premium Luxury,32.56598911,14950.0,2020,20001,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8304366,,331827360
Nissan,Kicks S,32.55737884,14641.0,2020,37685,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8302968,,460021784
Nissan,Leaf S,32.46379634115258,9988.0,2015,41982,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8252134,,509480076
Ford,Fiesta,32.27124842,13000.0,2019,44678,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8276453,https://img.ksl.com/mx/mplace-cars.ksl.com/2046150-1670769272-236063.jpg?filter=marketplace/400x300_cropped,363471528
Fiat,500 Pop,32.02771759,11500.0,2017,26711,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8364424,,218080348
Subaru,Impreza,31.69669006,14995.0,2020,31997,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8239356,https://img.ksl.com/mx/mplace-cars.ksl.com/3943527-1668810965-837866.jpg?filter=marketplace/400x300_dealer,391267485
Hyundai,Elantra Value Edition,31.48136295,11489.0,2018,42305,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8364291,,605079769
Chevrolet,Spark 1lt,31.24271585,13378.0,2021,35874,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8283263,"Chevrolet_Spark_2021_in_Salt_Lake_City,_UT",652512186
Ford,Escape S,31.23822329,12500.0,2014,49700,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8364173,,403483200
Fiat,500e Base,30.982935131505855,12999.0,2017,25009,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8196269,,205282342
Hyundai,Sonata Se,30.92160527,13995.0,2019,33208,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8282273,,473107314
Mitsubishi,Mirage Es,30.86913392,12995.0,2020,28895,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8175446,,587187650
Honda,Civic Gx,30.559841532879823,9995.0,2010,48800,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8383528,,492838800
Kia,Forte Lx,30.546267878734984,14200.0,2018,25547,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8170938,,158069538
Hyundai,Elantra Se,30.21895464,11900.0,2018,36000,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8275679,https://img.ksl.com/mx/mplace-cars.ksl.com/4351581-1670713505-83025.jpg?filter=marketplace/400x300_cropped,512344000
Ford,Focus Se,29.90822485207101,9900.0,2016,66150,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8332738,,535730400
Toyota,Camry Se,29.79216684,13995.0,2015,41451,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8263284,"Toyota_Camry_2015_in_Lehi,_UT",501142590
Fiat,500e Base,29.55758814,13999.0,2017,25009,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8196269,,205426351
Nissan,Versa Sv,29.43909821356841,13995.0,2018,45187,2023-02-15,KSL,False,1.0,https://cars.ksl.com/listing/8269841,,550371036
Hyundai,Sonata,29.28903013,11900.0,2012,30764,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8327079,,435350776
Hyundai,Veloster Base,29.20101649,8995.0,2017,40321,12/15/2022,KSL,False,,https://cars.ksl.com/listing/8265210,"Hyundai_Veloster_2017_in_Lindon,_UT",569292199
Kia,Forte Lx,29.03092572,14700.0,2018,25547,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8170938,,158071938
Ford,Explorer Xlt,28.91895917,13999.0,2010,44901,2/1/2023,KSL,False,8.0,https://cars.ksl.com/listing/8130140,,365707704
Toyota,Corolla Le,28.86712685,11500.0,2007,37913,1/25/2023,KSL,False,1.0,https://cars.ksl.com/listing/8351639,,459768346
Volkswagen,Jetta 1.4t S,28.54484334425312,13995.0,2017,43857,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8189833,,889298010
Mazda,Mx-5 Club,28.428911379529577,14999.0,2016,39000,2023-02-11,KSL,False,1.0,https://cars.ksl.com/listing/8383181,,396899748
Chevrolet,Spark Ls,28.33675325,12995.0,2018,36193,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8275831,https://img.ksl.com/mx/mplace-cars.ksl.com/23802-1670721240-459180.jpg?filter=marketplace/400x300_dealer,660456066
Ford,Fusion Se,28.26786221,13371.0,2015,43879,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8252615,https://img.ksl.com/mx/mplace-cars.ksl.com/2733291-1669533207-90973.jpg?filter=marketplace/400x300_dealer,357274910
Chevrolet,Spark 1lt,28.14766292,14956.0,2021,36507,12/11/2022,KSL,False,,https://cars.ksl.com/listing/8152310,https://img.ksl.com/mx/mplace-cars.ksl.com/1112925-1666762859-895861.jpg?filter=marketplace/400x300_dealer,667929339
Fiat,500x Pop,28.12956763,14971.0,2019,23207,1/12/2023,KSL,False,,https://cars.ksl.com/listing/8258732,,190773236
