Make,Model,Score,Price,Year,Mileage,Date,Source,OnSale,Days,Link,Image,Hash
Mitsubishi,Outlander Se Awd,38.554159682504654,9450.0,2014,19718,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=338530454/NONE,2017_Ford_Fusion_SE,402866120
Kia,Stinger Premium Rwd,38.41851341201921,8950.0,2019,26756,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=331761379/NONE,2018_GMC_Acadia_SLT-1_FWD,168522992
Kia,Forte Lx,38.138619484502776,14126.0,2015,12780,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=345378932/NONE,2015_Mazda_MAZDA3_i_Sport,81549404
Chevrolet,Spark 1lt Fwd,37.615091624553905,11999.0,2017,33377,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=346775969/NONE,2019_Ford_Fiesta_S_FWD,611664200
Ford,Focus Se Hatchback,37.37460363087802,14995.0,2017,41891,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=348893818/NONE,2015_Chevrolet_Spark_LS_FWD,347963258
Honda,Accord Coupe Lx-s,37.02048418312536,11995.0,2015,45379,2023-02-01,CarGuru,True,8,,2016_Chevrolet_Colorado_Z71_Extended_Cab_LB_RWD,464738280
Ford,Fusion Se,36.049953939734166,13895.0,2017,45335,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=343840784/NONE,2019_Ford_Fiesta_SE_Hatchback_FWD,370264760
Land,Rover Range Rover Evoque Hse Awd,36.02216337555975,9950.0,2019,27489,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=339649374/NONE,2016_Nissan_Versa_Note_S_Plus,233463564
Cadillac,Xt4 Sport Fwd,35.99057641544158,13950.0,2019,20190,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=318964641/NONE,2018_Nissan_Sentra_S_FWD,332456130
Ford,Focus Se,35.41549415166853,9995.0,2017,53177,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=342414197/NONE,2020_RAM_ProMaster_City_Tradesman_Cargo_Van_FWD,431830636
Chevrolet,Spark 1lt Fwd,35.11041982571451,13995.0,2021,37211,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=348950775/NONE,1998_Jaguar_XK-Series_XK8_Convertible_RWD,683198604
Mitsubishi,Mirage Le Fwd,34.797384828826225,12980.0,2020,24471,2023-02-01,CarGuru,True,8,,2015_Volkswagen_Jetta_TDI_SEL,500051360
Chevrolet,Spark 1lt Fwd,34.770045495854646,14295.0,2021,37036,2023-02-01,CarGuru,True,8,,2015_Ford_Fiesta_SE,679966194
Chevrolet,Spark Ls Fwd,34.637666687755654,12877.0,2018,36195,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=348245678/NONE,2016_Chrysler_200_Limited_Sedan_FWD,662627406
Nissan,Frontier Sv Crew Cab Rwd,34.498980604320295,9950.0,2020,44106,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=340395622/NONE,2019_Mitsubishi_Mirage_ES_FWD,542683920
Nissan,Leaf Sl,34.0347588623061,13294.0,2015,32513,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=345713504/NONE,2011_BMW_3_Series_328i_Sedan_RWD,396246142
Nissan,Sentra S,33.37366278181825,12349.0,2017,37377,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=344427851/NONE,2014_Chevrolet_Cruze_Eco_Sedan_FWD,455596590
Nissan,Leaf Sl,31.970858073883633,14569.0,2016,33704,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=344807289/NONE,2017_Nissan_Versa_S,410845057
Hyundai,Elantra Gt Fwd,31.713571219581688,14500.0,2013,30539,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=348222825/NONE,2016_Nissan_Versa_Note_S,436618049
Nissan,Leaf Sv,31.67950858457224,9595.0,2015,41962,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=342943719/NONE,2015_Toyota_Corolla_L,509402695
Ford,Fiesta Se Fwd,30.897782597502506,9995.0,2019,60666,2023-02-01,CarGuru,True,8,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=15000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=343590672/NONE,2015_MINI_Cooper_2-Door_Hatchback_FWD,493836666
