Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash,Exterior Color,Interior Color,Transmission,Trim,Engine,Certified Pre-Owned,Doors,Vin,Stock ID,Features,Comments,OnSale,Days
Chevrolet,Cruze,32.18861003,14995.0,2018,29490,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170122385/chevrolet/cruze?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_2_17.png,535597380,,,,,,,,,,,,False,
Chevrolet,Cruze,32.18861003,14995.0,2018,29490,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2170122385/chevrolet/cruze?source=UsedCarListings&savedVehicleId=&recentSearchId=13268100,Images/2022_12_15_25_17.png,538146530,,,,,,,,,,,,False,
Chevrolet,Spark Ev,32.13604036635404,12439.0,2015,36739,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_116_15.png,669446149,,,,,,,,,,,,False,1.0
Chevrolet,Spark Ev,31.83849363639068,12625.0,2015,36739,2023-02-11,CarsDirect,Not Found,Images/2023_02_11_195_15.png,669392765,,,,,,,,,,,,False,11.0
Nissan,Versa,31.37678672194716,12950.0,2016,39350,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_150_0.png,477984850,,,,,,,,,,,,False,1.0
Nissan,Versa,31.246777260622853,14695.0,2020,46239,2023-02-22,CarsDirect,Not Found,Images/2023_02_22_112_8.png,562694405,,,,,,,,,,,,False,8.0
Hyundai,Accent,30.8784892,14990.0,2016,34194,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_188_2.png,485243928,,,,,,,,,,,,False,8.0
Chevrolet,Spark Ev,30.87635412,12951.0,2015,36739,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_125_7.png,669370005,,,,,,,,,,,,False,8.0
Mitsubishi,Mirage G4,30.86913392,12995.0,2020,28895,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_8_11.png,587187650,,,,,,,,,,,,False,8.0
Mitsubishi,Mirage G4,30.46766844,14522.0,2019,21601,1/12/2023,CarsDirect,,Images/2023_01_12_175_1.png,440045130,,,,,,,,,,,,False,
Smart,Fortwo Electric Drive,30.36895723,12444.0,2016,25707,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_78_10.png,266966280,,,,,,,,,,,,False,8.0
Nissan,Versa,30.275234585195022,13650.0,2016,39350,2023-02-11,CarsDirect,Not Found,Images/2023_02_11_170_0.png,478025100,,,,,,,,,,,,False,11.0
Honda,Fit,29.66302054,13995.0,2015,50000,2/1/2023,CarsDirect,Not Found,Images/2023_02_01_180_18.png,504967565,,,,,,,,,,,,False,8.0
Nissan,Versa,29.43909821356841,13995.0,2018,45187,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_145_12.png,549153471,,,,,,,,,,,,False,1.0
Ford,Fiesta,29.04298773,12289.0,2015,44739,12/29/2022,CarsDirect,,Images/2022_12_29_125_9.png,362734626,,,,,,,,,,,,False,
Ford,Fiesta,29.04298773,12289.0,2015,44739,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2169275828/ford/fiesta?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_40_9.png,360596340,,,,,,,,,,,,False,
Hyundai,Sonata,27.83603943,14250.0,2017,33785,1/12/2023,CarsDirect,,Images/2023_01_12_186_24.png,479318915,,,,,,,,,,,,False,
Hyundai,Elantra,27.796015868151187,12900.0,2013,36798,2023-02-15,CarsDirect,Not Found,Images/2023_02_15_174_19.png,520958718,,,,,,,,,,,,False,1.0
Ford,Fiesta,27.69680901,13207.0,2015,44693,12/15/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2169275828/ford/fiesta?source=UsedCarListings&savedVehicleId=&recentSearchId=13268326,Images/2022_12_15_186_4.png,360225580,,,,,,,,,,,,False,
Nissan,Versa,27.07618768,14198.0,2021,38716,1/12/2023,CarsDirect,,Images/2023_01_12_113_11.png,471386946,,,,,,,,,,,,False,
Hyundai,Sonata,27.0064486,13995.0,2017,35000,1/12/2023,CarsDirect,,Images/2023_01_12_94_23.png,496432190,,,,,,,,,,,,False,
Nissan,Versa,26.85854122,14358.0,2021,38696,12/29/2022,CarsDirect,,Images/2022_12_29_8_15.png,471094236,,,,,,,,,,,,False,
Nissan,Versa,26.85854122,14358.0,2021,38696,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168720947/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_167_15.png,469227696,,,,,,,,,,,,False,
Nissan,Versa,26.18381402,14198.0,2021,39623,1/12/2023,CarsDirect,,Images/2023_01_12_115_12.png,482314238,,,,,,,,,,,,False,
Nissan,Versa,26.0803718,14084.0,2021,39900,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_52_4.png,485658320,,,,,,,,,,,,False,1.0
Mitsubishi,Mirage G4,26.05090645,13259.0,2020,28895,1/12/2023,CarsDirect,,Images/2023_01_12_4_20.png,586781606,,,,,,,,,,,,False,
Fiat,500e,26.01127286,14812.0,2017,23538,1/25/2023,CarsDirect,Not Found,Images/2023_01_25_66_3.png,191445032,,,,,,,,,,,,False,1.0
Fiat,500e,26.01127286,14812.0,2017,23538,12/22/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168000908/fiat/500e?source=UsedCarListings&savedVehicleId=&recentSearchId=13290738,Images/2022_12_22_23_8.png,189904584,,,,,,,,,,,,False,
Nissan,Versa,25.94985933,14358.0,2021,39623,12/29/2022,CarsDirect,,Images/2022_12_29_141_16.png,482263248,,,,,,,,,,,,False,
Nissan,Versa,25.94985933,14358.0,2021,39623,12/28/2022,CarsDirect,https://www.carsdirect.com/used_cars/vehicle-detail/ul2168726740/nissan/versa?source=UsedCarListings&savedVehicleId=&recentSearchId=13302974,Images/2022_12_28_116_16.png,480468498,,,,,,,,,,,,False,
Nissan,Versa,25.84973291,14242.0,2021,39900,12/29/2022,CarsDirect,,Images/2022_12_29_103_14.png,485607650,,,,,,,,,,,,False,
