Make,Model,Score,Price,Year,Mileage,Date,Source,Link,Image,Hash,OnSale,Days,Exterior Color,Interior Color,Transmission,Trim,Engine,Certified Pre-Owned,Doors,Vin,Stock ID,Features,Comments
Ford,Fiesta,62.39046112937394,14590.0,2016,23050,2023-04-05,Carvana,,,191302680,True,1.0,,,,,,,,,,,
Honda,Hr-v Lx,61.8751511966033,12895.0,2016,28392,2023-04-04,CarGuru,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=18000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=351284260/NONE,2018_Buick_Encore_Preferred_FWD,291697525,True,1.0,,,,,,,,,,,
Ford,Focus Se,61.7228323151218,15992.0,2016,19977,2023-04-04,CarGuru,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=18000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=351609211/NONE,2013_Hyundai_Sonata_Hybrid,168898624,True,1.0,,,,,,,,,,,
Hyundai,Elantra Se,61.61575320303913,15495.0,2020,16682,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=676986650&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=275&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D275&clickType=listing,Used_2018_Kia_Sportage_LX,245335430,True,35.0,,,,,,,,,,,
Honda,Civic Lx Sedan Fwd,61.44485712564119,14995.0,2020,30782,2023-04-04,CarGuru,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=84601&inventorySearchWidgetType=PRICE&maxPrice=18000&showNegotiable=true&sortDir=ASC&sourceContext=usedPaidSearchNoZip&distance=50&minPrice=8000&sortType=DEAL_SCORE#listing=339656071/NONE,2020_Kia_Soul_LX_FWD,327362710,True,1.0,,,,,,,,,,,
Honda,Civic Lx,61.44485712564119,14995.0,2020,30782,2023-04-04,KSL,https://cars.ksl.com/listing/8473726,,318215760,True,35.0,,,,,,,,,,,
Nissan,Versa,61.31996739053255,13590.0,2017,16570,2023-04-05,Carvana,https://www.carvana.com/vehicle/2553353,2017_Nissan_Versa,204675090,True,1.0,,,,,,,,,,,
Mitsubishi,Mirage Es,61.16163402469592,12495.0,2021,15000,2023-04-04,KSL,https://cars.ksl.com/listing/8478724,,310009755,True,35.0,,,,,,,,,,,
Ford,Fusion Se,61.09270674874424,17700.0,2020,23704,2023-04-04,AutoTrader,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670928287&maxPrice=18000&city=Provo&state=UT&zip=84601&requestId=1819194850&transmissionCodes=AUT&searchRadius=50&marketExtension=include&maxMileage=50000&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=200&listingTypes=USED&referrer=%2Fcars-for-sale%2Fcars-under-18000%2Fprovo-ut-84601%3FrequestId%3D1819194850%26dma%3D%26transmissionCodes%3DAUT%26searchRadius%3D50%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26maxMileage%3D50000%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D200&clickType=listing,Image not found,201245620,True,35.0,,,,,,,,,,,
Hyundai,Accent Se,60.71269451151454,17989.0,2021,12796,2023-04-04,KSL,https://cars.ksl.com/listing/8386584,,190739072,True,35.0,,,,,,,,,,,
